Entry	Protein names	Gene names	Organism	Organism ID	yourlist:M20180906A7434721E10EE6586998A056CCD0537EAB5327E
A0A096RRR4	60S ribosomal protein L3-1	103647030 100192516 103646454 ZEAMMB73_Zm00001d003680 ZEAMMB73_Zm00001d003683 ZEAMMB73_Zm00001d004839 ZEAMMB73_Zm00001d004841 ZEAMMB73_Zm00001d028622	Zea mays (Maize)	4577	A0A096RRR4
A0A1D6DXA7	Eukaryotic translation initiation factor 3 subunit C	100272475 ZEAMMB73_Zm00001d002166	Zea mays (Maize)	4577	A0A1D6DXA7
A0A1D6DXB0	Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110)	100272475 ZEAMMB73_Zm00001d002166	Zea mays (Maize)	4577	A0A1D6DXB0
A0A1D6DXC1	Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110)	100272475 ZEAMMB73_Zm00001d002166	Zea mays (Maize)	4577	A0A1D6DXC1
A0A1D6DXC2	Eukaryotic translation initiation factor 3 subunit C	100272475 ZEAMMB73_Zm00001d002166	Zea mays (Maize)	4577	A0A1D6DXC2
A0A1D6DXD3	Eukaryotic translation initiation factor 3 subunit C	100272475 ZEAMMB73_Zm00001d002166	Zea mays (Maize)	4577	A0A1D6DXD3
A0A1D6EC18	Glycine--tRNA ligase mitochondrial 1	100192538 ZEAMMB73_Zm00001d003879	Zea mays (Maize)	4577	A0A1D6EC18
A0A1D6EC19	Glycine--tRNA ligase mitochondrial 1	100192538 ZEAMMB73_Zm00001d003879	Zea mays (Maize)	4577	A0A1D6EC19
A0A1D6EC20	Glycine--tRNA ligase mitochondrial 1	100192538 ZEAMMB73_Zm00001d003879	Zea mays (Maize)	4577	A0A1D6EC20
A0A1D6EC22	Glycine--tRNA ligase mitochondrial 1	100192538 ZEAMMB73_Zm00001d003879	Zea mays (Maize)	4577	A0A1D6EC22
A0A1D6EC23	Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 1.10.2.2)	100192538 ZEAMMB73_Zm00001d003879	Zea mays (Maize)	4577	A0A1D6EC23
A0A1D6EC26	Glycine--tRNA ligase mitochondrial 1	100192538 ZEAMMB73_Zm00001d003879	Zea mays (Maize)	4577	A0A1D6EC26
A0A1D6EC28	Glycine--tRNA ligase mitochondrial 1	100192538 ZEAMMB73_Zm00001d003879	Zea mays (Maize)	4577	A0A1D6EC28
A0A1D6EC30	Glycine--tRNA ligase mitochondrial 1	100192538 ZEAMMB73_Zm00001d003879	Zea mays (Maize)	4577	A0A1D6EC30
A0A1D6EC31	Glycine--tRNA ligase mitochondrial 1	100192538 ZEAMMB73_Zm00001d003879	Zea mays (Maize)	4577	A0A1D6EC31
A0A1D6EC33	Glycine--tRNA ligase mitochondrial 1	100192538 ZEAMMB73_Zm00001d003879	Zea mays (Maize)	4577	A0A1D6EC33
A0A1D6F0E2	Eukaryotic translation initiation factor 5A (eIF-5A)	542537 ZEAMMB73_Zm00001d006760 ZEAMMB73_Zm00001d022042	Zea mays (Maize)	4577	A0A1D6F0E2
A0A1D6F0E3	Eukaryotic translation initiation factor 5A	542537 ZEAMMB73_Zm00001d006760	Zea mays (Maize)	4577	A0A1D6F0E3
A0A1D6F0E4	Eukaryotic translation initiation factor 5A (eIF-5A)	542537 ZEAMMB73_Zm00001d006760	Zea mays (Maize)	4577	A0A1D6F0E4
A0A1D6F4L0	T-complex protein 1 subunit zeta	100193477 ZEAMMB73_Zm00001d007192	Zea mays (Maize)	4577	A0A1D6F4L0
A0A1D6F4L2	T-complex protein 1 subunit zeta	100193477 ZEAMMB73_Zm00001d007192	Zea mays (Maize)	4577	A0A1D6F4L2
A0A1D6F553	Chlorophyll a-b binding protein, chloroplastic	542716 ZEAMMB73_Zm00001d007267	Zea mays (Maize)	4577	A0A1D6F553
A0A1D6F555	Chlorophyll a-b binding protein, chloroplastic	542716 ZEAMMB73_Zm00001d007267	Zea mays (Maize)	4577	A0A1D6F555
A0A1D6F5P3	Serine--tRNA ligase cytoplasmic	100272738 ZEAMMB73_Zm00001d007369	Zea mays (Maize)	4577	A0A1D6F5P3
A0A1D6F5P7	Serine--tRNA ligase cytoplasmic	100272738 ZEAMMB73_Zm00001d007369	Zea mays (Maize)	4577	A0A1D6F5P7
A0A1D6F5Q0	Serine--tRNA ligase cytoplasmic	100272738 ZEAMMB73_Zm00001d007369	Zea mays (Maize)	4577	A0A1D6F5Q0
A0A1D6F5Q4	Serine--tRNA ligase cytoplasmic	100272738 ZEAMMB73_Zm00001d007369	Zea mays (Maize)	4577	A0A1D6F5Q4
A0A1D6F5Q5	Serine--tRNA ligase cytoplasmic	100272738 ZEAMMB73_Zm00001d007369	Zea mays (Maize)	4577	A0A1D6F5Q5
A0A1D6F5Q9	Serine--tRNA ligase cytoplasmic	100272738 ZEAMMB73_Zm00001d007369	Zea mays (Maize)	4577	A0A1D6F5Q9
A0A1D6F5R0	Serine--tRNA ligase cytoplasmic	100272738 ZEAMMB73_Zm00001d007369	Zea mays (Maize)	4577	A0A1D6F5R0
A0A1D6F5R1	Serine--tRNA ligase cytoplasmic	100272738 ZEAMMB73_Zm00001d007369	Zea mays (Maize)	4577	A0A1D6F5R1
